seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end,condition
6002,True,199,222,352,382,23,130,30,183,2.3581489271189184,3.65368086306691,4.348591750396151,True,True,2.9234972677595628,1.0000000000000002,0.0,500,lloyd,0,4,drop_R4
6003,True,199,257,376,408,58,119,32,209,12.607157620862608,-5.228860377716217,13.648494573648945,True,True,3.076555023923445,1.0000000000000002,0.0,500,lloyd,0,4,drop_R4
6004,True,199,878,939,969,679,61,30,770,3.4698056268222217,-17.353483714770846,17.69697567740726,True,True,1.674025974025974,3.435041992611059e-17,5.454545454545454,500,lloyd,0,4,drop_R4
6005,True,199,301,384,414,102,83,30,215,-3.613359761659808,-5.144041208796182,6.28629690079744,True,True,0.6842118869640543,0.0,19.069767441860463,500,lloyd,0,4,drop_R4
6006,True,199,292,405,445,93,113,40,246,2.0130861082448064,6.83426535759105,7.1245841041549465,True,True,1.357884302923941,0.5857864376269047,0.0,500,lloyd,0,4,drop_R4
6007,True,199,259,341,371,60,82,30,172,-13.44321742892862,2.78441299880717,13.728548743016376,True,True,0.43597562029755943,0.0,49.41860465116279,500,lloyd,0,4,drop_R4
6008,True,199,213,245,275,14,32,30,76,1.7168704099950673,-1.1794101772718477,2.082943199170117,True,True,1.6578947368421049,0.9999999999999992,0.0,500,lloyd,0,4,drop_R4
6009,True,199,275,425,455,76,150,30,256,5.148517863426292,13.84773775236718,14.773864661907353,True,True,3.0234375,0.9999999999999992,0.0,500,lloyd,0,4,drop_R4
6010,True,199,228,336,370,29,108,34,171,7.429575447571381,1.6721195964984759,7.615416946966838,True,True,0.8401280987331915,0.5857864376269047,0.0,500,lloyd,0,4,drop_R4
6011,True,199,536,632,662,337,96,30,463,1.6856816804114203,18.273178168034093,18.350764645877636,True,True,1.2135640582135108,0.585786437626905,0.0,500,lloyd,0,4,drop_R4
6012,True,199,317,380,410,118,63,30,211,2.1043256382359914,0.23944860864924067,2.117905103615686,True,True,1.4502369668246446,1.0,0.0,500,lloyd,0,4,drop_R4
6013,True,199,321,467,497,122,146,30,298,10.868444789634054,18.596993743152268,21.539992303345148,True,True,1.0134228187919463,0.0,0.6711409395973155,500,lloyd,0,4,drop_R4
6014,True,199,299,410,440,100,111,30,241,2.2886625695228986,-8.324852183616429,8.633721111791738,True,True,1.432908516355551,0.585786437626905,0.0,500,lloyd,0,4,drop_R4
