seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end
2054,True,199,204,362,392,5,158,30,193,6.15549989422388,-16.080347161088753,17.218238695317396,True,True,1.2249101806274452,0.8299135133739661,0.0,500,lloyd,0,5
2055,True,199,210,327,357,11,117,30,158,11.036183072837389,1.5463035134723668,11.143984537541296,True,True,3.0029170554215114,1.5857864376269037,0.0,500,lloyd,0,5
2056,True,199,200,369,399,1,169,30,200,10.948598680236216,-0.4195397709556232,10.956633911940461,True,True,2.0425467705665774,0.8299135133739658,0.0,500,lloyd,0,5
2057,True,199,382,511,541,183,129,30,342,6.663915244200723,-5.327107641896163,8.531461903462928,True,True,1.9824130139430474,0.3819660112501052,0.0,500,lloyd,0,5
2058,True,199,200,350,380,1,150,30,181,-12.486176042836746,14.429720133566121,19.08196570864107,True,True,3.8287292817679544,3.0,0.0,500,lloyd,0,5
2059,True,199,347,425,468,148,78,43,269,24.526843426630194,-10.40961144830976,26.644437674291687,True,False,1.8942802967285772,0.999999999999999,0.0,500,lloyd,0,5
2060,True,199,481,640,670,282,159,30,471,-2.632746062923502,-6.743102970633913,7.238838961077329,True,True,1.689108491501903,0.5188056959079843,0.0,500,lloyd,0,5
2061,True,199,212,371,401,13,159,30,202,-12.710530111288222,2.20047226918129,12.899598982813398,True,True,1.773126598392346,0.9999999999999991,0.0,500,lloyd,0,5
2062,True,199,215,333,363,16,118,30,164,-17.86490474021855,1.5718178657152748,17.933918500429986,True,True,1.2012195121951217,0.9999999999999998,0.0,500,lloyd,0,5
2063,True,199,210,339,369,11,129,30,170,28.26694113199676,4.550567905040111,28.630885931422927,True,False,4.282944147431693,1.585786437626904,0.0,500,lloyd,0,5
2064,True,199,247,402,432,48,155,30,233,18.079744697363424,5.967289540225238,19.03905756015046,True,True,3.4879927833310234,0.3819660112501047,0.0,500,lloyd,0,5
